Date,Site,NH4,NOx,OP,DO,pH,SpCond,Temp,Turb
2/20/2019,HAT,0.0873,0.03,0.082333333,7.27,6.02,72.2,19.6,1.68
2/20/2019,HOGDN,0.061266667,0.131,0.644,7.74,7.28,259.5,19.9,1.26
2/20/2019,POSNW16,0.064766667,0.629,0.845666667,9.06,7.61,261.8,20.3,1.94
2/20/2019,SWB,0.0908,3.124,0.137666667,8.66,7.44,646,22.2,1.05
2/20/2019,TUM441,0.1114,0.292333333,0.118666667,9.63,8.11,397.8,21.7,0.92
3/22/2019,HAT,1.167833333,0.165666667,0.114333333,8.61,6.89,82.5,14.8,2.65
3/22/2019,HOGDN,0.251233333,0.369,0.608333333,8.7,7.08,283.5,13.2,1.32
3/22/2019,POSNW16,,0.849333333,0.875,10.12,7.71,286.1,14.3,1.79
3/22/2019,SWB,0.871733333,3.534666667,0.187666667,8.99,7.53,756,19.7,0.78
3/22/2019,TUM441,0.4607,0.112,0.112666667,12.23,8.47,393.8,19.7,1.5
4/3/2019,HAT,0.232566667,0.097666667,0.15,8.54,7.15,87.7,16.2,1.6
4/3/2019,HOGDN,1.476,0.186,0.502666667,7.5,7.14,242.5,17.5,2.27
4/3/2019,HOGNW16,0.330333333,0.335333333,0.427333333,8.85,7.74,269.1,18.6,1.44
4/3/2019,POSNW16,0.660033333,0.692666667,0.752666667,9.2,7.54,260.3,17.7,1.88
4/3/2019,SWB,0.1571,3.779333333,0.537333333,8.72,7.44,639,20.4,0.64
4/3/2019,TUM441,0.5751,0.165666667,0.133666667,10.52,8.09,331.8,19.6,0.94
4/24/2019,HAT,0.001733333,0.085666667,0.138333333,7.39,6.98,100.4,17.7,1.42
4/24/2019,HOGDN,-0.013566667,0.327333333,0.632666667,7.04,7.25,266.5,18.3,5.99
4/24/2019,HOGNW16,-0.020866667,0.408666667,0.452333333,8.5,7.74,273,19.9,1.3
4/24/2019,POSNW16,-0.029,0.846666667,0.874,9.03,7.72,268.4,18.6,1.4
4/24/2019,SWB,0.110566667,3.661,0.484,7.5,7.52,814,23.3,0.41
4/24/2019,TUM441,0.131233333,0.342333333,0.157666667,11.26,8.6,426.1,24,0.25
