Date,Site,NH4,NOx,OP
2018-10-18,HAT,0.1148,0.19066666666666668,0.20333333333333334
2018-10-18,HOGDN,0.0989,0.223,0.7683333333333333
2018-10-18,HOGNW16,0.048299999999999996,0.413,0.6093333333333333
2018-10-18,POSNW16,0.042800000000000005,0.9613333333333333,1.0313333333333334
2018-10-18,SWB,0.12990000000000002,2.459,0.41666666666666663
2018-10-18,TUM441,0.041133333333333334,0.20133333333333334,0.17766666666666667
2018-10-31,HAT,0.21966666666666668,0.125,0.23733333333333334
2018-10-31,HOGDN,0.25743333333333335,0.3436666666666667,0.6796666666666668
2018-10-31,HOGNW16,1.4073333333333333,0.329,0.5726666666666667
2018-10-31,POSNW16,0.7168333333333333,0.7196666666666667,0.8743333333333333
2018-10-31,SWB,0.41336666666666666,2.381666666666667,0.5943333333333333
2018-10-31,TUM441,1.1815666666666667,0.16033333333333333,0.11466666666666667
2018-11-08,HAT,0.07526666666666666,0.106,0.22666666666666668
2018-11-08,HOGDN,0.12836666666666668,0.30533333333333335,0.8093333333333333
2018-11-08,HOGNW16,0.08816666666666667,0.41633333333333333,0.6023333333333333
2018-11-08,POSNW16,0.09086666666666667,0.8593333333333333,0.9626666666666667
2018-11-08,SWB,0.0838,2.1799999999999997,0.9913333333333333
2018-11-08,TUM441,0.25233333333333335,0.179,0.6223333333333333
2018-11-13,HAT,0.08316666666666667,0.10266666666666667,0.21733333333333332
2018-11-13,HOGDN,0.0208,0.18266666666666667,0.8153333333333334
2018-11-13,HOGNW16,0.017566666666666668,0.37166666666666665,0.6103333333333333
2018-11-13,POSNW16,-0.013433333333333334,0.7996666666666667,1.0473333333333332
2018-11-13,SWB,0.008133333333333333,1.8153333333333335,0.22366666666666668
2018-11-13,TUM441,0.012733333333333333,0.10966666666666666,0.14666666666666667
2018-11-29,HAT,0.1101,0.06,0.224
2018-11-29,HOGDN,0.2343,0.223,0.606
2018-11-29,HOGNW16,0.08549999999999999,0.35466666666666663,0.5076666666666667
2018-11-29,POSNW16,0.1698,0.8636666666666667,0.8576666666666667
2018-11-29,SWB,0.5177,6.733333333333333,0.36
2018-11-29,TUM441,0.09446666666666667,0.037333333333333336,0.131
2018-12-05,HAT,0.0011666666666666668,0.038,0.583
2018-12-05,HOGDN,0.027866666666666665,0.025333333333333333,0.19
2018-12-05,HOGNW16,0.010733333333333333,0.101,0.11233333333333334
2018-12-05,POSNW16,0.053766666666666664,0.5806666666666667,0.741
2018-12-05,SWB,0.0157,3.473333333333333,0.6546666666666667
2018-12-05,TUM441,0.19893333333333332,0.25966666666666666,0.395
2018-12-20,HAT,0.29336666666666666,0.06933333333333333,0.25633333333333336
2018-12-20,HOGDN,0.20893333333333336,-0.0013333333333333333,0.058666666666666666
2018-12-20,HOGNW16,0.5159666666666667,0.058666666666666666,0.13233333333333333
2018-12-20,POSNW16,0.5108,0.37466666666666665,0.23
2018-12-20,SWB,0.1907,0.20266666666666666,0.5883333333333333
2018-12-20,TUM441,0.1226,0.08433333333333333,0.20633333333333334
2019-01-04,HAT,0.09923333333333333,0.007666666666666666,0.06866666666666667
2019-01-04,HOGDN,0.026333333333333334,0.11266666666666666,0.597
2019-01-04,HOGNW16,0.0331,0.24466666666666667,0.327
2019-01-04,POSNW16,0.031033333333333333,0.5013333333333333,0.7653333333333333
2019-01-04,SWB,0.11986666666666666,2.2319999999999998,0.192
2019-01-04,TUM441,0.05786666666666667,0.35933333333333334,0.13866666666666666
2019-01-18,HAT,0.2946666666666667,0.027666666666666666,0.08399999999999999
2019-01-18,HOGDN,0.2119,0.23966666666666667,0.4073333333333333
2019-01-18,HOGNW16,0.5924666666666667,0.309,0.33666666666666667
2019-01-18,POSNW16,0.48336666666666667,0.7223333333333334,0.6826666666666668
2019-01-18,SWB,0.14856666666666665,2.783,0.172
2019-01-18,TUM441,0.0967,0.27033333333333337,0.09633333333333334
2019-01-25,HAT,0.0111,0.01,0.09033333333333333
2019-01-25,HOGDN,-0.011533333333333333,0.022000000000000002,0.297
2019-01-25,HOGNW16,0.015066666666666666,0.11533333333333333,0.13233333333333333
2019-01-25,POSNW16,-0.0042,0.23433333333333334,0.43
2019-01-25,SWB,0.10833333333333334,1.663,0.14366666666666666
2019-01-25,TUM441,0.20433333333333334,0.21,0.09466666666666666
2019-02-06,HAT,0.4246666666666667,0.012,0.04666666666666667
2019-02-06,HOGDN,0.6377333333333334,0.05733333333333333,0.43866666666666665
2019-02-06,POSNW16,0.9537666666666667,0.509,0.6676666666666667
2019-02-06,SWB,0.18546666666666667,3.836333333333333,0.09733333333333333
2019-02-06,TUM441,0.11143333333333334,0.3333333333333333,0.11666666666666667
2019-02-20,HAT,0.0873,0.03,0.08233333333333334
2019-02-20,HOGDN,0.061266666666666664,0.131,0.644
2019-02-20,POSNW16,0.06476666666666667,0.629,0.8456666666666667
2019-02-20,SWB,0.0908,3.124,0.13766666666666666
2019-02-20,TUM441,0.1114,0.29233333333333333,0.11866666666666667
2019-03-22,HAT,1.1678333333333333,0.16566666666666668,0.11433333333333333
2019-03-22,HOGDN,0.2512333333333333,0.369,0.6083333333333333
2019-03-22,POSNW16,2.1345666666666667,0.8493333333333333,0.875
2019-03-22,SWB,0.8717333333333334,3.5346666666666664,0.18766666666666668
2019-03-22,TUM441,0.4607,0.112,0.11266666666666666
2019-04-03,HAT,0.23256666666666667,0.09766666666666667,0.15
2019-04-03,HOGDN,1.476,0.186,0.5026666666666667
2019-04-03,HOGNW16,0.3303333333333333,0.33533333333333337,0.42733333333333334
