Site,Date,Time,Analyte,Result
POSNW16,11/13/2018,11:54,SpCond,285.3
POSNW16,11/13/2018,11:54,pH,7.96
POSNW16,11/13/2018,11:54,Turb,1.22
HOGDN,11/13/2018,11:17,Temp,22.3
HOGDN,11/13/2018,11:17,DO_Sat,65.3
HOGDN,11/13/2018,11:17,DO,5.67
HOGDN,11/13/2018,11:17,SpCond,271
HOGDN,11/13/2018,11:17,pH,7.3
HOGDN,11/13/2018,11:17,Turb,1.75
TUM441,11/29/2018,14:17,Temp,14.5
TUM441,11/29/2018,14:17,DO_Sat,117.5
TUM441,11/29/2018,14:17,DO,11.96
TUM441,11/29/2018,14:17,SpCond,380.7
TUM441,11/29/2018,14:17,pH,8.46
TUM441,11/29/2018,14:17,Turb,0.64
SWB,11/29/2018,13:15,Temp,18.2
SWB,11/29/2018,13:15,DO_Sat,96.9
SWB,11/29/2018,13:15,DO,9.11
SWB,11/29/2018,13:15,SpCond,801
SWB,11/29/2018,13:15,pH,7.63
SWB,11/29/2018,13:15,Turb,1.29
HAT,11/29/2018,12:37,Temp,10.06
HAT,11/29/2018,12:37,DO_Sat,89.9
HAT,11/29/2018,12:37,DO,10.01
HAT,11/29/2018,12:37,SpCond,93.2
HAT,11/29/2018,12:37,pH,7.24
HAT,11/29/2018,12:37,Turb,1.86
HOGNW16,11/29/2018,11:47,Temp,12.3
HOGNW16,11/29/2018,11:47,DO_Sat,95
HOGNW16,11/29/2018,11:47,DO,10.16
HOGNW16,11/29/2018,11:47,SpCond,278.8
HOGNW16,11/29/2018,11:47,pH,7.86
HOGNW16,11/29/2018,11:47,Turb,1.75
POSNW16,11/29/2018,11:30,Temp,11.6
POSNW16,11/29/2018,11:30,DO_Sat,99.3
POSNW16,11/29/2018,11:30,DO,10.78
POSNW16,11/29/2018,11:30,SpCond,271.3
POSNW16,11/29/2018,11:30,pH,7.87
POSNW16,11/29/2018,11:30,Turb,1.18
HOGDN,11/29/2018,11:05,Temp,9.4
HOGDN,11/29/2018,11:05,DO_Sat,83.5
HOGDN,11/29/2018,11:05,DO,9.55
HOGDN,11/29/2018,11:05,SpCond,258.3
HOGDN,11/29/2018,11:05,pH,7.01
HOGDN,11/29/2018,11:05,Turb,1.84
TUM441,12/5/2018,11:47,Temp,16.4
TUM441,12/5/2018,11:47,DO_Sat,115.5
TUM441,12/5/2018,11:47,DO,11.3
TUM441,12/5/2018,11:47,SpCond,351.8
TUM441,12/5/2018,11:47,pH,8.38
TUM441,12/5/2018,11:47,Turb,0.79
SWB,12/5/2018,11:40,Temp,19.1
SWB,12/5/2018,11:40,DO_Sat,99.3
SWB,12/5/2018,11:40,DO,9.17
SWB,12/5/2018,11:40,SpCond,683
SWB,12/5/2018,11:40,pH,7.79
SWB,12/5/2018,11:40,Turb,1.4
HAT,12/5/2018,10:54,Temp,14.9
HAT,12/5/2018,10:54,DO_Sat,84.1
HAT,12/5/2018,10:54,DO,8.5
HAT,12/5/2018,10:54,SpCond,98.4
HAT,12/5/2018,10:54,pH,7
HAT,12/5/2018,10:54,Turb,1.43
HOGNW16,12/5/2018,10:12,Temp,14
HOGNW16,12/5/2018,10:12,DO_Sat,93.8
HOGNW16,12/5/2018,10:12,DO,9.65
HOGNW16,12/5/2018,10:12,SpCond,257.8
HOGNW16,12/5/2018,10:12,pH,7.87
HOGNW16,12/5/2018,10:12,Turb,1.9
POSNW16,12/5/2018,9:59,Temp,13.8
POSNW16,12/5/2018,9:59,DO_Sat,96.4
POSNW16,12/5/2018,9:59,DO,9.98
POSNW16,12/5/2018,9:59,SpCond,241.5
POSNW16,12/5/2018,9:59,pH,7.83
POSNW16,12/5/2018,9:59,Turb,2.08
HOGDN,12/5/2018,9:29,Temp,12.7
HOGDN,12/5/2018,9:29,DO_Sat,64.8
HOGDN,12/5/2018,9:29,DO,6.85
HOGDN,12/5/2018,9:29,SpCond,214
HOGDN,12/5/2018,9:29,pH,7.12
HOGDN,12/5/2018,9:29,Turb,1.71
TUM441,12/20/2018,12:53,Temp,17.4
TUM441,12/20/2018,12:53,DO_Sat,97.4
TUM441,12/20/2018,12:53,DO,9.33
TUM441,12/20/2018,12:53,SpCond,71.1
TUM441,12/20/2018,12:53,pH,7.91
TUM441,12/20/2018,12:53,Turb,19.65
